questionid,questiontext,questiontype,answerid_1,optiontext_1,fraction_1,answerstatus_1,answerid_2,optiontext_2,fraction_2,answerstatus_2,answerid_3,optiontext_3,fraction_3,answerstatus_3,answerid_4,optiontext_4,fraction_4,answerstatus_4,answerid_5,optiontext_5,fraction_5,answerstatus_5,answerid_6,optiontext_6,fraction_6,answerstatus_6,tagid_1,tagname_1,tagid_2,tagname_2,tagid_3,tagname_3,tagid_4,tagname_4,tagid_5,tagname_5,tagid_6,tagname_6,tagid_7,tagname_7
1740,"The recommended catheter size for adults is",multichoice,4154,"8-10 Fr",0.0000000,Incorrect,4155,"10-12 Fr",0.0000000,Incorrect,4156,"14-16 Fr",1.0000000,Correct,4157,"18-20 Fr",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1115,"Competency Name: suctioning procedure",1120,"Type: knowledge",1130,"Competency Definition: size of catheter for adult",1140,"Competency area: introduction to suctioning",,,,
1728,"What is the recommended pressure setting for the suction unit?",multichoice,4108,"10-20 mmHg",0.0000000,Incorrect,4109,"50-60 mmHg",0.0000000,Incorrect,4110,"60-70 mmHg",0.0000000,Incorrect,4111,"100-150 mmHg",1.0000000,Correct,,,,,,,,,1114,"Domain: evidence base practice",1115,"Competency Name: suctioning procedure",1116,"Competency area: procedure of suctioning",1120,"Type: knowledge",1131,"Competency Definition: recommended suction pressure",,,,
1727,"When during the suction procedure should suction be applied?",multichoice,4104,"Only when withdrawing the suction catheter",1.0000000,Correct,4105,"Only when inserting the suction catheter",0.0000000,Incorrect,4106,"Either during insertion or withdrawal, depending on when the patient coughs",0.0000000,Incorrect,4107,"Only if the patient coughs",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1115,"Competency Name: suctioning procedure",1116,"Competency area: procedure of suctioning",1117,"Type: skill",1132,"Competency Definition: when to apply suction",,,,
1726,"Which of the following are possible indications for performing endotracheal suction?",multichoice,4100,"Normal air entry on auscultation",0.0000000,Incorrect,4101,"The patient has an effective cough",0.0000000,Incorrect,4102,"Reduced oxygen saturation levels",1.0000000,Correct,4103,"Normal respiratory rate",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1115,"Competency Name: suctioning procedure",1120,"Type: knowledge",1133,"Competency area: endotracheal suction",1134,"Competency Definition: indication for suctioning",,,,
1729,"Which one of the following is a contraindication for inserting a nasopharyngeal airway?",multichoice,4112,"The patient is able to tolerate an oropharyngeal airway",0.0000000,Incorrect,4113,"The patient has a fractured base of skull",1.0000000,Correct,4114,"The patient has hypoxaemia",0.0000000,Incorrect,4115,"The patient has a chest infection",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1115,"Competency Name: suctioning procedure",1120,"Type: knowledge",1135,"Competency area: nasopharyngeal suctioning",1136,"Competency Definition: contraindication for inserting a nasopharyngeal airway",,,,
66403,"A nurse is caring for a client with an indwelling urinary catheter. What is the most important action for the nurse to implement when irrigating the bladder?",multichoice,16609,"Use sterile equipment.",1.0000000,Correct,16610,"Instill the fluid under high pressure.",0.0000000,Incorrect,16611,"Warm the solution to body temperature.",0.0000000,Incorrect,16612,"Aspirate immediately to ensure return flow.",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1117,"Type: skill",1141,"Competency Name: urinary catheterization",1142,"Competency area: indwelling urinary catheter",1143,"Competency Definition: indwelling urinary catheter",1144,"important action when irrigating the bladder",,
66404,"A urine specimen is needed to test for the presence of ketones in a client who is diabetic. What should the nurse do when collecting this specimen from a urinary retention catheter?",multichoice,16613,"Disconnect the catheter and drain the urine into a clean container.",0.0000000,Incorrect,16614,"Clean the drainage valve and remove the urine from the catheter bag.",0.0000000,Incorrect,16615,"Wipe the catheter with alcohol and drain the urine into a sterile test tube.",0.0000000,Incorrect,16616,"Clamp the catheter, cleanse the port, and use a sterile syringe to remove urine.",1.0000000,Correct,,,,,,,,,1114,"Domain: evidence base practice",1141,"Competency Name: urinary catheterization",1145,"Competency area: urinary retention catheter",1146,Type:skill,1147,"Competency Definition: collection of specimen",1148,"nurse action",,
66387,"An intermittent urinary catheter has all the below mentioned characteristic features except-",multichoice,16545,"Made up of latex, silicon",1.0000000,Correct,16546,"Single lumen straight plastic tube",0.0000000,Incorrect,16547,"Presence of opening at the tip of 1.3 cm",0.0000000,Incorrect,16548,"It is used for shorter duration of time",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1149,"Competency area: intermittent urinary catheter",1150,"Competency Definition: characteristics of intermittent urinary catheter",,,,
2503,"Appropriate insertion follows aseptic technique which includes the use of which of the following?",multichoice,5806,"Sterile gloves",0.0000000,Incorrect,5807,"Sterile drape sheet",0.0000000,Incorrect,5808,"Sterile skin antiseptic",0.0000000,Incorrect,5809,"All of the above",1.0000000,Correct,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1151,"Competency area: procedure of insertion of urinary catheter",1152,"Competency Definition: appropriate insertion of urinary catheter",,,,
2501,"Catheterization is performed for all of the following reasons except?",multichoice,5798,"To check for residual urine",0.0000000,Incorrect,5799,"To instill meds into bladder",0.0000000,Incorrect,5800,"For relief of bladder distention from urinary retention.",0.0000000,Incorrect,5801,"For relief of urinary suppression with overflow.",1.0000000,Correct,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1153,"Competency area: insertion of urinary catheter",1154,"Competency Definition: performed catheterization",,,,
3174,"How long can a silicon catheter stay in situ?",multichoice,6402,"2 weeks",0.0000000,Incorrect,6403,"12 weeks",1.0000000,Correct,6404,"3 weeks",0.0000000,Incorrect,6405,"20 weeks",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1155,"Competency area: size of catheter",1156,"Competency Definition: silicon catheter stay in situ",,,,
3171,"How many centimeters should the urinary catheter be advanced in a male?",multichoice,6390,"5-6 cm",0.0000000,Incorrect,6391,"10-14 cm",0.0000000,Incorrect,6392,"2-5 cm",0.0000000,Incorrect,6393,"15-25 cm",1.0000000,Correct,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1157,"Competency area: performing male urinary catheterization",1158,"Competency Definition: advance the urinary catheter to the recommended depth",,,,
3173,"How many lumen does a straight catheter have?",multichoice,6398,Two,0.0000000,Incorrect,6399,Three,0.0000000,Incorrect,6400,One,1.0000000,Correct,6401,None,0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1159,"Competency area: structure of foley's urinary catheter",1160,"Competency Definition: lumen of foley’s catheter",,,,
2504,"How many lumens does a Foley catheter have?",multichoice,5810,1,0.0000000,Incorrect,5811,2,1.0000000,Correct,5812,None,0.0000000,Incorrect,,,,,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1159,"Competency area: structure of foley's urinary catheter",1160,"Competency Definition: lumen of foley’s catheter",,,,
3179,"How should a drainage bag be emptied?",multichoice,6418,"Into a pitcher and poured down the sink",0.0000000,Incorrect,6419,"Into a measuring jug and then poured into the toilet",1.0000000,Correct,6420,"Drained directly into a 24-hr specimen container",0.0000000,Incorrect,6421,"Disconnected from the catheter tubing and released directly into the toilet",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1117,"Type: skill",1141,"Competency Name: urinary catheterization",1161,"Competency area: perform emptying of the urine drainage bag",1162,"Competency Definition: empty the drainage bag",,,,
66392,"Identify the correct sequence of procedure for urinary catheterization",multichoice,16565,"Position appropriately, set up the sterile field, drape the patient, clean from outer to inner, insert catheter, inflate distal balloon, attach and secure",1.0000000,Correct,16566,"Drape patient, provide position, clean from inside out, inflate distal balloon, attach and secure",0.0000000,Incorrect,16567,"Set up the sterile field, position the patient, clean from inside out, insert catheter, attach and secure",0.0000000,Incorrect,16568,"Position appropriately, set up the sterile field, drape the patient, clean from urinary meatus to outside, insert catheter, attach and secure, inflate distal balloon,",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1163,"Competency area: procedure of urinary catheterization",1164,"Competency Definition: procedure of urinary catheterization",,,,
66398,"In a female patient with indwelling catheter the catheter care should be performed in which of the following correct sequence",multichoice,16589,"Urinary meatus, labia minora, labia majora, catheter",1.0000000,Correct,16590,"Catheter, urinary meatus, labia majora, labia minora",0.0000000,Incorrect,16591,"Urobag, catheter, labia majora",0.0000000,Incorrect,16592,"Labia minora, labia majora, perineum, catheter",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1165,"Competency area: care of indwelling catheter",1166,"Competency Definition: female indwelling urinary catheter care",,,,
2502,"In the procedure for inserting an indwelling catheter, after urine appears in the tubing, the catheter is advanced additional 2-inches in order to:",multichoice,5802,"Minimize the risk for balloon inflation in the urethra.",1.0000000,Correct,5803,"Increase the amount of urine drained.",0.0000000,Incorrect,5804,"Stimulate normal bladder contraction.",0.0000000,Incorrect,5805,"Promote Bladder Tone",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1167,"Competency area: insertion of an indwelling urinary catheter",1168,"Competency Definition: inserting an indwelling catheter",1169,"catheter is advanced additional 2-inches",,
66394,"Inflation of the balloon should be withheld if the patient complains of",multichoice,16573,"Severe pain while inflating the balloon",1.0000000,Correct,16574,"Nausea and vomiting",0.0000000,Incorrect,16575,Incontinence,0.0000000,Incorrect,16576,"Bleeding per rectum",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1163,"Competency area: procedure of urinary catheterization",1170,"Competency Definition: inflation of the balloon",,,,
2500,"lndwelling catheters are designed to:",multichoice,5794,"Use for straight cath to obtain a urine specimen",0.0000000,Incorrect,5795,"Use for a patient who is incontinent",0.0000000,Incorrect,5796,"Has no balloon for securing in the bladder",0.0000000,Incorrect,5797,"Rest securely in the bladder for a limited amount of time.",1.0000000,Correct,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1171,"Competency area: indwelling catheter",1172,"Competency Definition: structure of indwelling catheters",,,,
82153,"Normally which size of catheter used in a male patient?",multichoice,55690,"12-15 cm",0.0000000,Incorrect,55691,"14-18 cm",1.0000000,Correct,55692,"20-24 cm",0.0000000,Incorrect,55693,"25-28 cm",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1173,"Competency area: sizes of urinary catheters",1174,"Competency Definition: normal size of catheter in male patient",,,,
66389,"Ramesh a 32 year old male is admitted in the hospital as a case of hydronephrosis and is advised for bladder irrigation. The size of Foley’s catheter that should be used for catheterizing is –",multichoice,16553,"14-18 Fr",1.0000000,Correct,16554,"30-22 Fr",0.0000000,Incorrect,16555,"22-24 Fr",0.0000000,Incorrect,16556,"10-13 Fr",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1175,"Competency area: bladder irrigation",1176,"Competency Definition: the size of Foley’s catheter",1177,"Bladder Irrigation",,
3176,"State if “True” or “False”. <br>Catheter-associated urinary tract infections are the most common cause of bacteremia (bloodstream infection) in long-term care facilities.",multichoice,6410,True,1.0000000,Correct,6411,False,0.0000000,Incorrect,,,,,,,,,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1178,"Competency area: catheter-associated urinary tract infections",1179,"Competency Definition: catheter-associated urinary tract infections",1180,bacteremia,,
3177,"State if “True” or “False”.<br>During catheter care, gloves only need to be worn if you are emptying the urine drainage bag.",multichoice,6412,True,0.0000000,Incorrect,6413,False,1.0000000,Correct,,,,,,,,,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1181,"Competency area: catheter care",1182,"Competency Definition: wear gloves",,,,
3170,"The catheter slips into the vagina during a straight catheterization of a female patient. Which action by the nurse is appropriate?",multichoice,6386,"Removes the catheter and redirects it to the urinary meatus",0.0000000,Incorrect,6387,"Removes the catheter, wipes it with a sterile gauze and redirects it to the urinary  meatus",0.0000000,Incorrect,6388,"Leaves the catheter in place and gets a new sterile catheter",1.0000000,Correct,6389,"Leaves the catheter in place and asks another nurse to attempt the procedure",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1117,"Type: skill",1141,"Competency Name: urinary catheterization",1183,"Competency area: procedure of catheterization",1184,"Competency Definition: catheter slips into the vagina during a straight catheterization",,,,
66397,"The maximum amount of sterile water that can be used to inflate the balloon at the tip of the catheter is",multichoice,16585,"2 ml",0.0000000,Incorrect,16586,"50 ml",0.0000000,Incorrect,16587,"5-10 ml",1.0000000,Correct,16588,"150 ml",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1183,"Competency area: procedure of catheterization",1185,"Competency Definition: Maximum amount of sterile water",1186,"inflate the balloon",,
66395,"The normal size of catheter used in a female patient is -----------",multichoice,16577,"6-10 Fr",0.0000000,Incorrect,16578,"12-16 Fr",1.0000000,Correct,16579,"16--19 Fr",0.0000000,Incorrect,16580,"20-24 Fr",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1187,"Competency area: size of urinary catheter",1188,"Competency Definition: normal size of catheter used in a female patient",,,,
66402,"The primary reason for lubricating the urinary catheter generously before inserting the catheter into a male client is that this technique helps reduce:",multichoice,16605,"Spasms at the orifice of the bladder.",0.0000000,Incorrect,16606,"Friction along the urethra when the catheter is being inserted.",1.0000000,Correct,16607,"The number of organisms gaining entrance to the bladder.",0.0000000,Incorrect,16608,"The formation of encrustations that may occur at the end of the catheter.",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1153,"Competency area: insertion of urinary catheter",1189,"Competency Definition: taping an indwelling catheter",1190,"laterally to the thigh of a male client",,
66401,"The primary reason for taping an indwelling catheter laterally to the thigh of a male client is to:",multichoice,16601,"Eliminate pressure at the penoscrotal angle.",1.0000000,Correct,16602,"Prevent the catheter from kinking in the urethra.",0.0000000,Incorrect,16603,"Prevent accidental catheter removal.",0.0000000,Incorrect,16604,"Allow the client to turn without kinking the catheter.",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1153,"Competency area: insertion of urinary catheter",1191,"Competency Definition: purpose of inflatable balloon",,,,
66388,"The purpose of inflatable balloon at the tip of an indwelling catheter is to-",multichoice,16549,"Hold the catheter in place once inflated",1.0000000,Correct,16550,"Give shape to the catheter",0.0000000,Incorrect,16551,"Protect the adjacent lying structures",0.0000000,Incorrect,16552,"Collect urine specimen",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1153,"Competency area: insertion of urinary catheter",1191,"Competency Definition: purpose of inflatable balloon",,,,
66383,"Urinary catheterization involves inserting the Foley’s catheter",multichoice,16529,"Into the ureter",0.0000000,Incorrect,16530,"Through the urethra into the bladder",1.0000000,Correct,16531,"Through the rectum",0.0000000,Incorrect,16532,"From ureter into the bladder",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1153,"Competency area: insertion of urinary catheter",1192,"Competency Definition: inserting the foley’s catheter",,,,
3172,"What is the size of urinary catheter used in children?",multichoice,6394,"5-12 Fr",1.0000000,Correct,6395,"12-14 Fr",0.0000000,Incorrect,6396,"14-16 Fr",0.0000000,Incorrect,6397,"18 Fr",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1193,"Competency area: introduction to urinary catheterization",1194,"Competency Definition: size of urinary catheter",1195,children,,
2506,"What position is a female patient in for catheterization?",multichoice,5815,"Dorsal recumbent",1.0000000,Correct,5816,"High fowler",0.0000000,Incorrect,5817,"Sims position",0.0000000,Incorrect,5818,"Knee chest position",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1193,"Competency area: introduction to urinary catheterization",1196,"Competency Definition: position for female patient for catheterization",,,,
3175,"What should a nurse do immediately after an indwelling catheter is removed?",multichoice,6406,"Rinse it and send for sterilization",0.0000000,Incorrect,6407,"Observe the catheter for any sediments, mucous or blood",1.0000000,Correct,6408,"Cut and discard in the appropriate color coded bin",0.0000000,Incorrect,6409,"Document the procedure",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1117,"Type: skill",1141,"Competency Name: urinary catheterization",1197,"Competency area: removal of urinary catheter",1198,"Competency Definition: immediate action after removal of an indwelling catheter",,,,
2505,"What should you do to the foreskin when catheterizing?",multichoice,5813,"Retract it and clean it before catheterization",1.0000000,Correct,5814,"never retract the skin",0.0000000,Incorrect,,,,,,,,,,,,,,,,,1114,"Domain: evidence base practice",1117,"Type: skill",1141,"Competency Name: urinary catheterization",1199,"Competency area: catheterization of male patient",1200,"Competency Definition: action to the foreskin when catheterizing",,,,
3169,"Which among the following sizes of urinary catheter is not used for female patients?",multichoice,6382,"16 Fr",0.0000000,Incorrect,6383,"18 Fr",1.0000000,Correct,6384,"12 Fr",0.0000000,Incorrect,6385,"14 Fr",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1193,"Competency area: introduction to urinary catheterization",1194,"Competency Definition: size of urinary catheter",1201,"Female patient",,
66399,"Which among these is not the indication for removal of an indwelling catheter:",multichoice,16593,"Promote normal bladder function",0.0000000,Incorrect,16594,"Prevent infection",0.0000000,Incorrect,16595,"Prevent trauma to urethra",0.0000000,Incorrect,16596,"Promote incontinence",1.0000000,Correct,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1202,"Competency area: removal of catheter",1203,"Competency Definition: not the indication for removal of an indwelling catheter",,,,
66400,"Which nursing action can best prevent infection from a urinary retention catheter?",multichoice,16597,"Changing the catheter daily",0.0000000,Incorrect,16598,"Encouraging adequate fluids",0.0000000,Incorrect,16599,"Irrigating the catheter once daily",0.0000000,Incorrect,16600,"Cleansing around the meatus routinely",1.0000000,Correct,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1145,"Competency area: urinary retention catheter",1204,"Competency Definition: best Nursing action",1205,"prevent infection",1206,"urinary retention catheter"
66391,"Which of the following general instructions about catheterization is true",multichoice,16561,"Urobag should be changed every 24 hours",0.0000000,Incorrect,16562,"Ringer Lactate should be used to flush the catheter",0.0000000,Incorrect,16563,"The urobag should always be kept below the level of bladder.",1.0000000,Correct,16564,"Sterile technique is not necessary for catheterization",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1207,"Competency area: introduction to catheterization",1208,"Competency Definition: general instructions about catheterization",,,,
66386,"Which of the following has an inflatable balloon at the tip that helps anchor the catheter in its place",multichoice,16541,"Ryles tube",0.0000000,Incorrect,16542,"Nasogastric tube",0.0000000,Incorrect,16543,"Indwelling catheter",1.0000000,Correct,16544,"Intermittent catheter",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1207,"Competency area: introduction to catheterization",1209,"Competency Definition: inflatable balloon at the tip",1210,"helps anchor the catheter in its place",,
66385,"Which of the following is an indication for urinary catheterization for diagnostic purposes",multichoice,16537,"Imaging studies of UTI",1.0000000,Correct,16538,"Relieve urinary retention",0.0000000,Incorrect,16539,"Instillation of medication",0.0000000,Incorrect,16540,Hydronephrosis,0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1207,"Competency area: introduction to catheterization",1211,"Competency Definition: indication for urinary catheterization",1212,"Diagnostic purposes",,
3180,"Which of the following is true for providing catheter care?",multichoice,6422,"Clean the only the first 1 to 2 inches of the catheter tubing",0.0000000,Incorrect,6423,"Wipe towards the meatus",0.0000000,Incorrect,6424,"Use a paper towel to dry the catheter tubing",0.0000000,Incorrect,6425,"Observe the area for any signs of irritation or problems with the tubing",1.0000000,Correct,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1181,"Competency area: catheter care",1213,"Competency Definition: true for providing catheter care",,,,
66393,"Which position is preferred in male patients to perform catheterization?",multichoice,16569,"Dorsal recumbent with thighs inward rotated",0.0000000,Incorrect,16570,"Supine position with thighs slightly abducted",1.0000000,Correct,16571,"Prone position",0.0000000,Incorrect,16572,"Trendelenburg position",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1214,"Competency area: procedure of catheter insertion",1215,"Competency Definition: position in male patients",,,,
2507,"Why are there two lumens in a Foley catheter?",multichoice,5819,"One to drain urine and other to inflate balloon",1.0000000,Correct,5820,"One to drain urine and other to administer medication",0.0000000,Incorrect,5821,"One to administer medication and other to inflate balloon",0.0000000,Incorrect,5822,"Both to drain urine",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1207,"Competency area: introduction to catheterization",1216,"Competency Definition: two lumens in a foley catheter",,,,
3178,"Why should a catheter drainage bag be kept below the level of the bladder?",multichoice,6414,"It prevents urine from flowing back into the bladder and causing an infection",1.0000000,Correct,6415,"The bag is likely to leak if it is held higher than the bladder",0.0000000,Incorrect,6416,"The tubing can disconnect from the catheter if it is kept higher than the level of the bladder",0.0000000,Incorrect,6417,"The tubing may kink and cause safety hazard to the patient",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1120,"Type: knowledge",1141,"Competency Name: urinary catheterization",1217,"Competency area: catheter insertion",1218,"Competency Definition: catheter drainage bag",1219,"kept below the level of the bladder",,
